Event,Description
[From.GetName] Confronts Us About Rebels,"Option ""Cuius regio, eius religio. They should respect the will of their rulers."":* Adds the opinion modifier ""Renounced Heretic Rebels"" towards from* Adds the modifier ""Abandoned Religious Rebels"" for 5 years:** -2 tolerance of the true faith* Country/province sending the event:** Gets the event aow_events.40Option ""We demand that you cease your oppression of these poor [Root.Religion.GetName] subjects!"":* Changes prestige by 15* Adds the opinion modifier ""Defended Heretic Rebels"" towards from* Country/province sending the event:** Gets the event aow_events.41Option ""We will support the faithful against you, openly and gladly!"":* Modifies treasury by -0.2 years worth of income* Adds the opinion modifier ""Roused Heretic Rebels"" towards from* Country/province sending the event:** Gets the event aow_events.42"
[From.GetName] Renounces [From.Religion.GetName] Rebels,"Option ""Let us hope this is not just duplicitous talk."":* Changes prestige by 15"
[From.GetName] Defend [From.Religion.GetName] Rebels,"Option ""If thats how they see things, they can hardly hope to retain our respect."":* Changes prestige by -10"
[From.GetName] Funds [From.Religion.GetName] Rebels!,"Option ""There can be no absolution for those who persist in sin."":* If:** Limited to:*** Country/province sending the event:**** Follows the Protestant religion** Random owned province:*** Limited to:**** Most likely rebel type is Religious*** Spawns revolt of size 2* If:** Limited to:*** Country/province sending the event:**** Follows the Reformed religion** Random owned province:*** Limited to:**** Most likely rebel type is Religious*** Spawns revolt of size 2* Gets the Diplomatic Insult casus belli against from"
Cardinal Across the Border,"Trigger:* The Papacy is enabled* Follows the Catholic religion* Country is not The Papal State* Has less than 7 cardinals* Any owned province:** Development of at least 10** Doesnt have a cardinal** Follows the Catholic religion** Any bordering province:*** Has a cardinal*** The province is not owned by our countryBase mean time to happen of 480 months* Multiplies value by 1.2:** Has at least 5 cardinalsImmediate effects:* check_if_non_state_advisor_effect: {** chance_of_primary: 75** chance_of_tertiary: 5** chance_of_secondary: 25* Hidden effect:** Random owned province:*** Limited to:**** Doesnt have a cardinal**** Follows the Catholic religion**** Development of at least 10**** Any bordering province:***** Has a cardinal***** The province is not owned by our country*** save_event_target_as: receive_cardinal_province*** Random bordering province:**** Limited to:***** Has a cardinal***** The province is not owned by our country**** save_event_target_as: send_cardinal_provinceOption ""We will take our chances that they never find out."":* Modifies treasury by -0.05 years worth of income* add_corruption: 0.5* event_target:receive_cardinal_province: {** Adds a cardinal to the province* event_target:send_cardinal_province: {** Removes the cardinal from the province** Has a 50 percent chance to happen:*** Hidden effect:**** Gets the province event aow_events.44*** Province owner:**** Tooltip:***** Gets the Diplomatic Insult casus belli against our country***** Adds the opinion modifier ""Bribed Cardinal"" towards our countryOption ""It is not worth risking, but the man who found him deserves a promotion."":* generate_advisor_of_type_and_semi_random_religion_effect: {** advisor_type: spymaster** advisor_type_if_not_state: spymaster** scaled_skill: yes** Is discountedafter: {* erase_advisor_flags_effect: yes"
Cardinal Bribed to Move,"Option ""It is an affront to both us and our Church."":* Province owner:** Gets the Diplomatic Insult casus belli against from** add_corruption: 1** Adds the opinion modifier ""Bribed Cardinal"" towards from"
Thoughts of Heresy,"Trigger:* Has a cardinal* Any bordering province:** Does not follow the Catholic religion** Is in the Christian religion groupBase mean time to happen of 480 monthsOption ""Faith cannot be bought, but silence can."":* Province owner:** Modifies treasury by -0.1 years worth of income* Has a 40 percent chance to happen:** Gets the province event aow_events.46Option ""Its unfortunate, but he is ill suited for his position if he has doubts."":* Removes the cardinal from the province"
Pope Discovers Duplicity,"Trigger:* The Papal State existsOption ""Is it too late for us to ask forgiveness, too?"":* The Papal State:** Adds the opinion modifier ""Bribed Cardinal"" towards our country"
Cardinal Distrusts Heathens,"Trigger:* Has a cardinal* Any bordering province:** Is not in Christians religion group** The province is owned by our country* Province owner - not all of the following:** Has the country modifier ""Distrusts Heathens""Base mean time to happen of 480 monthsOption ""If we cannot judge someones character by faith, what else?"":* Province owner:** Adds the modifier ""Distrusts Heathens"" for 5 years:*** -2 tolerance of heathensOption ""We have no intentions of limiting their rights because of one man."":* Removes the cardinal from the province"
Contacts in the Holy See,"Trigger:* The Papacy is enabled* Follows the Catholic religion* Country is not The Papal State* Any of the following:** Any employed advisor:*** Is the Theologian advisor type*** Follows the Catholic religion** Any employed advisor:*** Is the Inquisitor advisor type*** Follows the Catholic religion* Has less than 7 cardinals* There are fewer than 49 cardinals in the world* Any owned province:** Development of at least 10** In the continent Europe** Doesnt have a cardinalBase mean time to happen of 480 monthsOption ""Whatever we can do to help, we will."":* Changes administrative power stored by -100* Random owned province:** Limited to:*** Development of at least 10*** In the continent Europe*** Follows the Catholic religion*** Doesnt have a cardinal** Adds a cardinal to the provinceOption ""Our administration has other priorities than nepotism."":* Changes administrative power stored by 100"
Cardinal Minister,"Trigger:* Does not have the country modifier ""Cardinal in Administration""* Has at least 1 cardinalsBase mean time to happen of 480 monthsOption ""He has aided us well so far, so let us get the formality over with."":* If:** Limited to:*** has_estate: estate_church*** has_estate_influence_modifier: {**** estate: estate_church**** modifier: EST_VAL_CARDINAL_IN_ADMINISTRATION** add_estate_influence_modifier: {*** estate: estate_church*** desc: EST_VAL_CARDINAL_IN_ADMINISTRATION*** influence: 5*** Lasting 20 years days* Adds the modifier ""Cardinal in Administration"" for 20 years:** Follows the YES religion** +1% global missionary strength** +0.5 Papal influence per year** -5% stability cost modifier** +1 tolerance of the true faith** -2 tolerance of hereticsOption ""[Root.Monarch.GetName] does not need his advice to rule [Root.GetName]."":* Changes prestige by 10"
Cardinal's Policies Upset Nobles,"Trigger:* Has the country modifier ""Cardinal in Administration""* Does not have the country modifier ""Increased Centralization""* Has at least 1 cardinalsBase mean time to happen of 1200 monthsImmediate effects:* Hidden effect:** Random owned province:*** Limited to:**** Any bordering province:***** The province is the capital of the country***** The province is owned by our country*** save_event_target_as: rebel_province** Random owned province:*** Limited to:**** Has a cardinal*** save_event_target_as: cardinal_provinceOption ""The minister is showing us the path to the future."":* goto: rebel_province* Adds the modifier ""Increased Centralization"" for 10 years:** -0.05 monthly autonomy change** +1 global unrest* event_target:rebel_province: {** Spawns revolt of size 2 of Noble rebelsOption ""He has overstepped his authority and should be dismissed."":* goto: cardinal_province* Removes the country modifier ""Cardinal in Administration""* event_target:cardinal_province: {** Removes the cardinal from the province"
Cardinal Sins,"Trigger:* Has the idea group Espionage Ideas* Follows the Catholic religion* Any neighbor country:** Has at least 1 cardinals* Does not have the country modifier ""Blackmailing Cardinal""Base mean time to happen of 1200 monthsOption ""The Holy See must be informed of his actions."":* Random neighbor country:** Limited to:*** Has at least 1 cardinals** Random owned province:*** Limited to:**** Has a cardinal*** Hidden effect:**** Gets the province event aow_events.52*** Tooltip:**** Removes the cardinal from the province** Adds the opinion modifier ""Exposed Cardinal"" towards our countryOption ""We can use this as blackmail to improve our spy network."":* add_corruption: 0.5* Adds the modifier ""Blackmailing Cardinal"" for 5 years:** +25% spy offense"
Cardinal Exposed,"Option ""What an underhanded way of getting at our influence."":* Removes the cardinal from the province"
