** Trigger:
*** Country is 0 "Mali
*** Stability is lower than 0
*** Year is less than 1550
*** Owns 0 "Trarza
*** Owns 0 "Cayor
*** Owns 0 "Wolof
*** Owns 0 "Siine
*** 0 "Jolof does not exist
*** Does not have the DLC Origins
** Mean time to happen
*** Base mean time to happen of 36 months
** Option: 0 "Mali's decline ends here!:
*** AI chance:
**** Base chance of 90
*** 0 "Trarza:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Cayor:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Wolof:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Siine:
**** Spawns 2 revolt size of nationalist rebels
** Option: 0 "We can make some concessions...:
*** AI chance:
**** Base chance of 10
*** Release 0 "Jolof as a vassal
* Gets the province event:
** ID is flavor_mal.2
** title = flavor_mal.2.t
** desc = flavor_mal.2.d
** picture = HORDE_ON_HORSEBACK_eventPicture
** fire_only_once = yes
** Trigger:
*** Province is 0 "Kantor
*** 0 "Fulo does not exist
*** Year is at least 1470
*** tekrur_area:
**** Is uncolonized
** Mean time to happen
*** Base mean time to happen of 36 months
** Immediate effects:
*** Hidden effect:
**** Every province in the world:
***** Limited to:
****** Any of the following:
******* area = tekrur_area
******* Province is 0 "Trarza
******* Province is 0 "Bambuk
******* Province is 0 "Kantor
******* Province is 0 "Termes
******* Province is 0 "Wagadu
******* Province is 0 "Baghena
***** Gives 0 "Fulo core on the province
***** If:
****** Limited to:
******* The owner of the province:
******** Does not have the country flag fulani_info_flag
****** The owner of the province:
******* Gets the country event:
******** ID is flavor_mal.3
******* Sets the country flag fulani_info_flag
***** Every province in the world:
****** Limited to:
******* Any of the following:
******** area = tekrur_area
******** Province is 0 "Trarza
******** Province is 0 "Bambuk
******** Province is 0 "Kantor
******** Province is 0 "Termes
******** Province is 0 "Wagadu
******** Province is 0 "Baghena
******* Is colonized
****** Adds the modifier "mal_fulani_migration" until the end of the campaign:
******* local_unrest = 5
****** Changes culture to fulani
***** baghena_area:
****** Limited to:
******* Culture is fulani
****** If:
******* Limited to:
******** Has core on 0 "Segu
******** The province is not owned by 0 "Segu
******* Removes core on 0 "Segu
****** Gives 0 "Macina core on the province
** Option: flavor_mal.2.a:
*** Every province in the world:
**** Limited to:
***** Any of the following:
****** area = tekrur_area
****** Province is 0 "Trarza
****** Province is 0 "Bambuk
****** Province is 0 "Kantor
****** Province is 0 "Termes
****** Province is 0 "Wagadu
****** Province is 0 "Baghena
***** Is uncolonized
**** Cedes province to 0 "Fulo
*** Hidden effect:
**** 0 "Fulo:
***** Spawns a ruler:
****** Named "Koli Tengella"
****** Ruler's dynasty is Denianke
****** Changes ruler's military skill by 4
****** Legitimacy of 100
***** If:
****** Limited to:
******* Has the DLC Rights of Man
****** add_ruler_personality_ancestor:
******* Named "conqueror"
***** adopt_reform_progress = our country
***** Capital:
****** build_to_forcelimit:
******* Spawns an infantry unit in 0.7
******* Spawns a cavalry unit in 0.3
**** Base chance of 0
*** Release 0 "Kong as a vassal
* Gets the country event:
** ID is flavor_mal.21
** title = flavor_mal.21.t
** desc = flavor_mal.21.d
** picture = AFRICAN_BAD_WITH_MONARCH_eventPicture
** is_triggered_only = yes
** Trigger:
*** num_of_subjects = 1
*** Does not have the country modifier "mal_the_declining_authority_of_mali"
*** Any of the following:
**** Does not have the country flag mal_disaster_had_vassal_punishment
**** Has had the country flag "mal_disaster_had_vassal_punishment" for at least 14600 days
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_disaster_had_vassal_punishment
**** Sets the country flag mal_disaster_had_vassal_punishment
** Option: flavor_mal.21.a:
*** Adds the modifier "mal_the_declining_authority_of_mali" for 25 years:
**** reduced_liberty_desire_on_same_continent = -50
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.22
** title = flavor_mal.22.t
** desc = flavor_mal.22.d
** picture = AFRICAN_REVOLT_eventPicture
** goto = mal_disaster_peasant_province
** is_triggered_only = yes
** Trigger:
*** Any owned province:
**** is_state = yes
**** The province is not the capital of the country
*** Any of the following:
**** Does not have the country flag mal_disaster_peasants_rose
**** Has had the country flag "mal_disaster_peasants_rose" for at least 720 days
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_disaster_peasants_rose
**** Sets the country flag mal_disaster_peasants_rose
**** Random owned province:
***** Limited to:
****** is_state = yes
****** The province is not the capital of the country
***** save_event_target_as = mal_disaster_peasant_province
** Option: flavor_mal.22.a:
*** AI chance:
**** Base chance of 0
*** event_target:mal_disaster_peasant_province:
**** Spawns revolt of size 2 of 0 "Peasant rebels
** Option: flavor_mal.22.b:
*** AI chance:
**** Base chance of 1
*** event_target:mal_disaster_peasant_province:
**** area:
***** Limited to:
****** The province is owned by our country
***** add_local_autonomy = 30
* Gets the country event:
** ID is flavor_mal.23
** title = flavor_mal.23.t
** desc = flavor_mal.23.d
** picture = AFRICAN_BAD_WITH_MONARCH_eventPicture
** is_triggered_only = yes
** Trigger:
*** Stability is at least -2
*** Any of the following:
**** Does not have the country flag mal_disaster_had_scandal
**** Has had the country flag "mal_disaster_had_scandal" for at least 1195 days
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_disaster_had_scandal
**** Sets the country flag mal_disaster_had_scandal
**** Changes stability by -1
** Option: flavor_mal.23.a:
*** AI chance:
**** Base chance of 1
*** Tooltip:
**** Changes stability by -1
* Gets the country event:
** ID is flavor_mal.24
** title = flavor_mal.24.t
** desc = flavor_mal.24.desc
** picture = BARBARY_PIRATES_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.24.a:
*** Creates an explorer at  extra naval tradition
**** tradition = 40
*** add_sailors = 5000
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.25
** title = flavor_mal.25.t
** desc = flavor_mal.25.desc
** picture = AFRICAN_EXPLORER_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.25.a:
*** If:
**** Limited to:
***** 0 "Pernambuco:
****** Any of the following:
******* The owner of the province:
******** Wasn't player controlled
******** Is AI controlled
******** Has less than 2 provinces
******* Is uncolonized
**** add_sailors = -1000
*** 0 "Pernambuco:
**** If:
***** Limited to:
****** Any of the following:
******* The owner of the province:
******** Wasn't player controlled
******** Is AI controlled
******** Has less than 2 provinces
******* Is uncolonized
***** Cedes province to our country
***** Gives our country core on the province
***** Changes base tax by 2
***** add_base_production = 2
***** add_base_manpower = 1
***** Changes religion to our country
***** Changes culture to our country
**** else:
***** Gives our country core on the province
*** 0 "Colonial Brazil:
**** add_permanent_claim = our country
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.26
** title = flavor_mal.26.t
** desc = flavor_mal.26.desc
** picture = AFRICAN_EUROPEAN_PURCHASE_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.26.a:
*** add_years_of_owned_provinces_production_income:
**** Base mean time to happen of 3 years
**** Trigger:
***** Produces 0 "Ivory
*** change_price:
**** Produces 0 "Ivory
**** Named "MALI_IVORY"
**** value = 0.33
**** Lasting 7300 days
*** Hidden effect:
**** Every country:
***** Limited to:
****** Is not AI controlled
***** Gets the country event:
****** ID is flavor_mal.27
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.27
** title = flavor_mal.27.t
** desc = flavor_mal.27.desc
** picture = TRADEGOODS_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.27.a:
*** Tooltip:
**** change_price:
***** Produces 0 "Ivory
***** Named "MALI_IVORY"
***** value = 0.33
***** Lasting 7300 days
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.28
** title = flavor_mal.28.t
** desc = flavor_mal.28.desc
** picture = AFRICAN_FIGHT_EUROPEANS_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.28.a:
*** Sets capital to 0 "Timbuktu
*** 0 "Timbuktu:
**** Changes base tax by 2
**** add_base_production = 2
**** add_base_manpower = 1
*** If:
**** Limited to:
***** 0 "Tuat:
****** Is uncolonized
**** Hidden effect:
***** Sets the country flag can_colonize_the_strait
*** AI chance:
**** Base chance of 1
** Option: flavor_mal.28.b:
*** Capital:
**** Changes base tax by 2
**** add_base_production = 2
**** add_base_manpower = 1
*** If:
**** Limited to:
***** 0 "Tuat:
****** Is uncolonized
**** Hidden effect:
***** Sets the country flag can_colonize_the_strait
*** AI chance:
**** Base chance of 0
* Gets the country event:
** ID is flavor_mal.29
** title = flavor_mal.29.t
** desc = flavor_mal.29.desc
** picture = MOSQUE_eventPicture
** goto = 1134
** is_triggered_only = yes
** Option: flavor_mal.29.a:
*** 0 "Jenne:
**** Changes religion to our country
**** Changes base tax by 2
**** add_base_production = 2
**** If:
***** Limited to:
****** Has the DLC Leviathan
***** set_great_project_tier_2:
**** else:
***** add_province_triggered_modifier = great_mosque_djenne_modifier
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.30
** title = flavor_mal.30.t
** desc = flavor_mal.30.desc
** picture = SONGHAI_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.30.a:
*** Adds songhai as an accepted culture
*** Hidden effect:
**** Every owned province:
***** Limited to:
****** Culture is songhai
***** add_nationalism = -30
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.31
** title = flavor_mal.31.t
** desc = flavor_mal.31.desc
** picture = SAHARA_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.31.a:
*** Changes treasury by -400 ducats
*** Every country:
**** Limited to:
***** Capital:
****** Region is maghreb_region
***** Is in our country's religion group
**** Adds the opinion modifier "mal_gold_of_mali" towards our country
*** AI chance:
**** Base chance of 1
**** Multiplies value by 0:
***** Has less than 450 ducats in the treasury
**** Multiplies value by 0:
***** calc_true_if:
****** Every country:
******* Capital:
******** Region is not maghreb_region
******* Is not in our country's religion group
****** amount_false = 1
** Option: flavor_mal.31.b:
*** Changes treasury by -200 ducats
*** Every country:
**** Limited to:
***** Capital:
****** Region is maghreb_region
***** Is in our country's religion group
**** Adds the opinion modifier "mal_ivory_of_mali" towards our country
*** AI chance:
**** Base chance of 1
**** Multiplies value by 0:
***** Has less than 250 ducats in the treasury
**** Multiplies value by 0:
***** calc_true_if:
****** Every country:
******* Capital:
******** Region is not maghreb_region
******* Is not in our country's religion group
****** amount_false = 1
** Option: flavor_mal.31.c:
*** Changes prestige by 10
*** AI chance:
**** Base chance of 1
**** Multiplies value by 0:
***** Has at least 250 ducats in the treasury
**** Multiplies value by 0:
***** Any country:
****** Capital:
******* Region is maghreb_region
****** Is in our country's religion group
* Gets the country event:
** ID is flavor_mal.32
** title = flavor_mal.32.t
** desc = flavor_mal.32.desc
** picture = AFRICAN_EUROPEAN_PURCHASE_eventPicture
** is_triggered_only = yes
** Immediate effects:
*** Hidden effect:
**** Removes the country flag mal_allowed_to_purchase_trade_colony
** Option: flavor_mal.32.a:
*** goto = 226
*** Trigger:
**** owns_or_non_sovereign_subject_of_false = 226
**** 0 "Gibraltar:
***** The owner of the province:
****** Is not at war
****** Capital is not 0 "Gibraltar
*** Hidden effect:
**** 0 "Gibraltar:
***** save_global_event_target_as = mal_colony_to_buy
***** The owner of the province:
****** Gets the country event:
******* ID is flavor_mal.33
*** mal_determine_offer_acceptance:
**** province = 226
*** AI chance:
**** Base chance of 20
** Option: flavor_mal.32.b:
*** goto = 1247
*** Trigger:
**** owns_or_non_sovereign_subject_of_false = 1247
**** 0 "Corsica:
***** The owner of the province:
****** Is not at war
****** Capital is not 0 "Corsica
*** Hidden effect:
**** 0 "Corsica:
***** save_global_event_target_as = mal_colony_to_buy
***** The owner of the province:
****** Gets the country event:
******* ID is flavor_mal.33
*** mal_determine_offer_acceptance:
**** province = 1247
*** AI chance:
**** Base chance of 20
** Option: flavor_mal.32.c:
*** goto = 126
*** Trigger:
**** owns_or_non_sovereign_subject_of_false = 126
**** 0 "Malta:
***** The owner of the province:
****** Is not at war
****** Capital is not 0 "Malta
*** Hidden effect:
**** 0 "Malta:
***** save_global_event_target_as = mal_colony_to_buy
***** The owner of the province:
****** Gets the country event:
******* ID is flavor_mal.33
*** mal_determine_offer_acceptance:
**** province = 126
*** AI chance:
**** Base chance of 20
** Option: flavor_mal.32.d:
*** goto = 4559
*** Trigger:
**** owns_or_non_sovereign_subject_of_false = 4559
**** 0 "Minorca:
***** The owner of the province:
****** Is not at war
****** Capital is not 0 "Minorca
*** Hidden effect:
**** 0 "Minorca:
***** save_global_event_target_as = mal_colony_to_buy
***** The owner of the province:
****** Gets the country event:
******* ID is flavor_mal.33
*** mal_determine_offer_acceptance:
**** province = 4559
*** AI chance:
**** Base chance of 20
** Option: flavor_mal.32.e:
*** goto = 102
*** Trigger:
**** owns_or_non_sovereign_subject_of_false = 102
**** 0 "Nice:
***** The owner of the province:
****** Is not at war
****** Capital is not 0 "Nice
*** Hidden effect:
**** 0 "Nice:
***** save_global_event_target_as = mal_colony_to_buy
***** The owner of the province:
****** Gets the country event:
******* ID is flavor_mal.33
*** mal_determine_offer_acceptance:
**** province = 102
*** AI chance:
**** Base chance of 20
** Option: flavor_mal.32.f:
*** Trigger:
**** owns_or_non_sovereign_subject_of_false = 226
**** owns_or_non_sovereign_subject_of_false = 1247
**** owns_or_non_sovereign_subject_of_false = 126
**** owns_or_non_sovereign_subject_of_false = 4559
**** owns_or_non_sovereign_subject_of_false = 102
*** Hidden effect:
**** Sets the country flag mal_allowed_to_purchase_trade_colony
*** AI chance:
**** Base chance of 0
** Option: flavor_mal.32.g:
*** Trigger:
**** owns_or_non_sovereign_subject_of = 226
**** owns_or_non_sovereign_subject_of = 1247
**** owns_or_non_sovereign_subject_of = 126
**** owns_or_non_sovereign_subject_of = 4559
**** owns_or_non_sovereign_subject_of = 102
*** highlight = yes
*** Adds 500% mercantilism
*** AI chance:
**** Base chance of 100
* Gets the country event:
** ID is flavor_mal.33
** title = flavor_mal.33.t
** desc = flavor_mal.33.desc
** picture = AFRICAN_EUROPEAN_PURCHASE_eventPicture
** goto = mal_colony_to_buy
** is_triggered_only = yes
** Option: flavor_mal.33.a:
*** event_target:mal_colony_to_buy:
**** Removes core on our country
**** Gives our country core on the province
**** Cedes province to our country
*** Changes treasury by 2000 ducats
*** Our country:
**** Gets the country event:
***** ID is flavor_mal.34
*** AI chance:
**** Base chance of 100
**** Multiplies value by 0:
***** Any of the following:
****** Considers our country a rival
****** Considers our country an enemy
**** Multiplies value by 0.25:
***** Has an opinion of less than 0 with our country
**** Multiplies value by 0.25:
***** Has an opinion of less than -50 with our country
**** Multiplies value by 0.25:
***** Has an opinion of less than -75 with our country
**** Multiplies value by 0.25:
***** Has an opinion of less than -100 with our country
**** Multiplies value by 0.25:
***** Has an opinion of less than -125 with our country
**** Multiplies value by 0.25:
***** Has an opinion of less than -150 with our country
**** Multiplies value by 0:
***** Has an opinion of less than -175 with our country
** Option: flavor_mal.33.b:
*** event_target:mal_colony_to_buy:
**** Gives our country core on the province
*** Our country:
**** Gets the country event:
***** ID is flavor_mal.35
*** AI chance:
**** Base chance of 100
**** Multiplies value by 0:
***** Does not consider our country a rival
***** Does not consider our country an enemy
**** Multiplies value by 0.25:
***** Has an opinion of at least 0 with our country
**** Multiplies value by 0.25:
***** Has an opinion of at least 50 with our country
**** Multiplies value by 0:
***** Has an opinion of at least 100 with our country
* Gets the country event:
** ID is flavor_mal.34
** title = flavor_mal.34.t
** desc = flavor_mal.34.desc
** picture = AFRICAN_EUROPEAN_PURCHASE_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.34.a:
*** Changes treasury by -2000 ducats
*** Tooltip:
**** event_target:mal_colony_to_buy:
***** Removes core on our country
***** Gives our country core on the province
***** Cedes province to our country
*** AI chance:
**** Base chance of 100
** after:
*** Hidden effect:
**** clear_global_event_target = mal_colony_to_buy
* Gets the country event:
** ID is flavor_mal.35
** title = flavor_mal.35.t
** desc = flavor_mal.35.desc
** picture = AFRICAN_EUROPEAN_PURCHASE_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.35.a:
*** Tooltip:
**** event_target:mal_colony_to_buy:
***** Gives our country core on the province
*** AI chance:
**** Base chance of 100
** after:
*** Hidden effect:
**** clear_global_event_target = mal_colony_to_buy
* Gets the country event:
** ID is flavor_mal.36
** title = flavor_mal.36.t
** desc = flavor_mal.36.desc
** picture = AN_EMPIRE_FOR_A_GIRAFFE_eventPicture
** is_triggered_only = yes
** major = yes
** Option: flavor_mal.36.a:
*** Changes treasury by -15000 ducats
*** Hidden effect:
**** Every province in the world:
***** Limited to:
****** Produces 0 "Gold
****** The owner of the province:
******* Any of the following:
******** All of the following:
********* Capital:
********** In the continent 0 "Europe
********* is_free_or_tributary_trigger = yes
******** All of the following:
********* is_subject_other_than_tributary_trigger = yes
********* overlord:
********** Capital:
*********** In the continent 0 "Europe
***** Adds the modifier "mal_closed_gold_mine" for 15 years:
**** Random province in the world:
***** Limited to:
****** Has the province modifier "bullion_gold_mining"
***** Removes the country modifier "bullion_gold_mining"
*** Hidden effect:
**** Every country:
***** Limited to:
****** Capital:
******* In the continent 0 "Europe
****** Is AI controlled
****** Wasn't player controlled
****** Any of the following:
******* is_free_or_tributary_trigger = yes
******* overlord:
******** Is AI controlled
******** Wasn't player controlled
***** add_inflation_scaled_to_trade:
****** Inflation is less than 1.5
*** If:
**** Limited to:
***** calc_true_if:
****** Every country:
******* Any of the following:
******** Is not AI controlled
******** Was player controlled
****** 2 will be built
**** Hidden effect:
***** Every country:
****** Limited to:
******* Capital:
******** In the continent 0 "Europe
******* Any of the following:
******** Is not AI controlled
******** Was player controlled
******** overlord:
********* Any of the following:
********** Is not AI controlled
********** Was player controlled
****** add_inflation_scaled_to_trade:
******* Inflation is less than 0.15
*** Adds the modifier "mal_economic_oppression" for 15 years:
* Gets the country event:
** ID is flavor_mal.37
** title = flavor_mal.37.t
** desc = flavor_mal.37.desc
** picture = AFRICAN_CARAVAN_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.37.a:
*** Changes piety by 25%
*** add_estate_loyalty:
**** estate = estate_church
**** loyalty = 20
*** add_ruler_personality = zealot_personality
*** Hidden effect:
**** add_ruler_personality_ancestor:
***** Named "zealot"
*** If:
**** Limited to:
***** Owns 0 "Mecca
**** 0 "Mecca:
***** add_building_construction:
****** building = 0 "Cathedral
****** It will take 100% of normal time
****** It will cost 0% of the normal amount
*** else:
**** Hidden effect:
***** 0 "Mecca:
****** The owner of the province:
******* Gets the country event:
******** ID is flavor_mal.38
** Option: flavor_mal.37.b:
*** Changes piety by -25%
*** add_estate_loyalty:
**** estate = estate_dhimmi
**** loyalty = 20
*** add_ruler_personality = kind_hearted_personality
*** Hidden effect:
**** add_ruler_personality_ancestor:
***** Named "kind_hearted"
*** If:
**** Limited to:
***** Owns 0 "Mecca
**** 0 "Mecca:
***** add_building_construction:
****** building = 0 "Counting House
****** It will take 100% of normal time
****** It will cost 0% of the normal amount
*** else:
**** Hidden effect:
***** 0 "Mecca:
****** The owner of the province:
******* Gets the country event:
******** ID is flavor_mal.39
* Gets the country event:
** ID is flavor_mal.38
** title = flavor_mal.38.t
** desc = flavor_mal.38.desc
** picture = MOSQUE_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.38.a:
*** Adds the opinion modifier "mal_invested_into_mecca" towards our country
*** 0 "Mecca:
**** add_building_construction:
***** building = 0 "Cathedral
***** It will take 100% of normal time
***** It will cost 0% of the normal amount
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.39
** title = flavor_mal.39.t
** desc = flavor_mal.39.desc
** picture = FARMING_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.39.a:
*** Adds the opinion modifier "mal_invested_into_mecca" towards our country
*** 0 "Mecca:
**** add_building_construction:
***** building = 0 "Counting House
***** It will take 100% of normal time
***** It will cost 0% of the normal amount
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.40
** title = flavor_mal.40.t
** desc = flavor_mal.40.desc
** picture = AFRICAN_CARAVAN_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.40.a:
*** Adds the modifier "mal_mansas_journey" for the rest of the campaign:
*** Hidden effect:
**** Hidden effect:
***** Sets the country flag mal_journey_to_maghreb
***** Gets the country event:
****** ID is flavor_mal.41
****** Base mean time to happen of 210 days
*** AI chance:
**** Base chance of 1
** Option: flavor_mal.40.b:
*** remove_advisor_by_category = 0 "Administrative
*** remove_advisor_by_category = 0 "Diplomatic
*** remove_advisor_by_category = 0 "Military
*** Adds the modifier "mal_advisors_journey" for the rest of the campaign:
*** Hidden effect:
**** Sets the country flag mal_journey_to_maghreb
**** Gets the country event:
***** ID is flavor_mal.41
***** Base mean time to happen of 210 days
*** AI chance:
**** Base chance of 0
** Option: flavor_mal.40.c:
*** Adds the modifier "mal_the_pilgrim" for the rest of the campaign:
**** +1 tolerance of the true faith
**** Legitimacy is at least 0.25
**** devotion = 0.25
**** Republican tradition is at least 0.1
**** horde_unity = 0.25
**** meritocracy = 0.25
*** If:
**** Limited to:
***** Does not own 0 "Mecca
**** Hidden effect:
***** 0 "Mecca:
****** The owner of the province:
******* Gets the country event:
******** ID is flavor_mal.48
******** Base mean time to happen of 515 days
*** else:
**** 0 "Mecca:
***** Changes base tax by 2
***** add_base_production = 2
***** set_great_project_tier_3:
*** AI chance:
**** Base chance of 0
* Gets the country event:
** ID is flavor_mal.41
** title = flavor_mal.41.t
** desc:
*** desc = flavor_mal.41.mansa.maghreb
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_maghreb
** desc:
*** desc = flavor_mal.41.mansa.iberia
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_iberia
** desc:
*** desc = flavor_mal.41.mansa.france
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_france
** desc:
*** desc = flavor_mal.41.mansa.italy
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_italy
** desc:
*** desc = flavor_mal.41.mansa.south_germany
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_south_germany
** desc:
*** desc = flavor_mal.41.mansa.balkans
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_balkans
** desc:
*** desc = flavor_mal.41.mansa.anatolia
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_anatolia
** desc:
*** desc = flavor_mal.41.mansa.mashriq
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_mashriq
** desc:
*** desc = flavor_mal.41.mansa.egypt
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_egypt
** desc:
*** desc = flavor_mal.41.mansa.arabia
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_arabia
** desc:
*** desc = flavor_mal.41.mansa.horn_of_africa
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_horn_of_africa
** desc:
*** desc = flavor_mal.41.mansa.home
*** Trigger:
**** Has the country modifier "mal_mansas_journey"
**** Has the country flag mal_journey_to_home
** desc:
*** desc = flavor_mal.41.advisor.maghreb
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_maghreb
** desc:
*** desc = flavor_mal.41.advisor.iberia
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_iberia
** desc:
*** desc = flavor_mal.41.advisor.france
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_france
** desc:
*** desc = flavor_mal.41.advisor.italy
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_italy
** desc:
*** desc = flavor_mal.41.advisor.south_germany
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_south_germany
** desc:
*** desc = flavor_mal.41.advisor.balkans
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_balkans
** desc:
*** desc = flavor_mal.41.advisor.anatolia
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_anatolia
** desc:
*** desc = flavor_mal.41.advisor.mashriq
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_mashriq
** desc:
*** desc = flavor_mal.41.advisor.egypt
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_egypt
** desc:
*** desc = flavor_mal.41.advisor.arabia
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_arabia
** desc:
*** desc = flavor_mal.41.advisor.horn_of_africa
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_horn_of_africa
** desc:
*** desc = flavor_mal.41.advisor.home
*** Trigger:
**** Has the country modifier "mal_advisors_journey"
**** Has the country flag mal_journey_to_home
** picture:
*** picture = BANKRUPTCY_eventPicture
*** Trigger:
**** Does not have the country flag mal_journey_to_maghreb
**** Does not have the country flag mal_journey_to_iberia
**** Does not have the country flag mal_journey_to_france
**** Does not have the country flag mal_journey_to_italy
**** Does not have the country flag mal_journey_to_south_germany
**** Does not have the country flag mal_journey_to_balkans
**** Does not have the country flag mal_journey_to_anatolia
**** Does not have the country flag mal_journey_to_mashriq
**** Does not have the country flag mal_journey_to_egypt
**** Does not have the country flag mal_journey_to_arabia
**** Does not have the country flag mal_journey_to_horn_of_africa
**** Does not have the country flag mal_journey_to_home
** picture:
*** picture = muslimgfx_CITY_VIEW_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_maghreb
** picture:
*** picture = RELIGION_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_iberia
** picture:
*** picture = PRAYING_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_france
** picture:
*** picture = POPE_PREACHING_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_italy
** picture:
*** picture = FREE_CITY_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_south_germany
** picture:
*** picture = MOSQUE_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_balkans
** picture:
*** picture = TUAREG_OTTOMAN_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_anatolia
** picture:
*** picture = BIG_ARABIAN_CITY_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_mashriq
** picture:
*** picture = muslimgfx_RAMADAN_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_egypt
** picture:
*** picture = MECCA_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_arabia
** picture:
*** picture = COPTIC_CITY_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_horn_of_africa
** picture:
*** picture = SAHARA_eventPicture
*** Trigger:
**** Has the country flag mal_journey_to_home
** is_triggered_only = yes
** Trigger:
*** Any of the following:
**** Has the country modifier "mal_mansas_journey"
**** Has the country modifier "mal_advisors_journey"
** Immediate effects:
*** Hidden effect:
**** mal_select_country_for_region = yes
**** If:
***** Limited to:
****** Country exists
***** export_to_variable:
****** which = trade_income_variable_tt
****** value = trade_income_percentage
****** Affecting event_target:selected_biggest_country_of_region
***** multiply_variable:
****** which = trade_income_variable_tt
****** value = 100
***** multiply_variable:
****** which = trade_income_variable_tt
****** value = 0.2
**** export_to_variable:
***** which = mal_money_to_give_tt
***** value = years_of_income
***** Affecting our country
**** multiply_variable:
***** which = mal_money_to_give_tt
***** value = 2
** Option: flavor_mal.41.a:
*** Trigger:
**** Does not have the country flag mal_journey_to_home
**** mal_target_country_exists_in_region = yes
*** Modifies treasury by -0.5 years worth of income
*** Hidden effect:
**** event_target:selected_biggest_country_of_region:
***** Sets the country flag mal_is_already_getting_visit
